candidate_id,source,parent_event_id,charge,x_hit_m,slope_rad,energy_gev
691.0,signal_electron,2658.0,-1.0,0.03424139394351367,0.027366765392608693,0.18346149570399176
692.0,signal_electron,2666.0,1.0,-0.047324748063458294,-0.03230765834757169,0.1802551119183961
693.0,signal_electron,2666.0,-1.0,0.047324748063458294,0.03230765834757169,0.14688040612961825
694.0,signal_electron,2668.0,1.0,-0.044694361296506245,-0.013239260959985759,0.18874172369301834
695.0,signal_electron,2668.0,-1.0,0.044694361296506245,0.013239260959985759,0.2506503055298696
696.0,signal_electron,2692.0,1.0,0.011398749977806,0.004254744582891617,0.157248966724411
697.0,signal_electron,2692.0,-1.0,-0.011398749977806,-0.004254744582891617,0.118989235794787
698.0,signal_electron,2693.0,1.0,0.010899251343540153,0.010016358411338452,0.25901101219783856
699.0,signal_electron,2693.0,-1.0,-0.010899251343540153,-0.010016358411338452,0.18814609124431728
700.0,signal_electron,2701.0,1.0,0.053311596557555636,0.019807313177583226,0.2387300862245493
701.0,signal_electron,2701.0,-1.0,-0.053311596557555636,-0.019807313177583226,0.16542237269584287
702.0,signal_electron,2708.0,1.0,0.07550458271989624,0.019073564128999507,0.18761687890819193
703.0,signal_electron,2708.0,-1.0,-0.07550458271989624,-0.019073564128999507,0.20258108377674297
704.0,signal_electron,2724.0,1.0,-0.02692244731522316,-0.016440273811955647,0.21367582510680147
705.0,signal_electron,2724.0,-1.0,0.02692244731522316,0.016440273811955647,0.21906461742970326
706.0,signal_electron,2731.0,1.0,0.08160958916869696,0.02528135618387468,0.18534562271387287
707.0,signal_electron,2731.0,-1.0,-0.08160958916869696,-0.02528135618387468,0.2782924304871953
708.0,signal_electron,2765.0,1.0,0.10514100085823047,0.0237737785059377,0.1675962713314058
709.0,signal_electron,2765.0,-1.0,-0.10514100085823047,-0.0237737785059377,0.13801494811257278
710.0,signal_electron,2771.0,1.0,-0.06838063676617005,-0.020652458289755843,0.1849335355711376
711.0,signal_electron,2771.0,-1.0,0.06838063676617005,0.020652458289755843,0.2322972732630355
712.0,signal_electron,2779.0,1.0,-0.04063798411052089,-0.009604154903455023,0.1913299842235627
713.0,signal_electron,2779.0,-1.0,0.04063798411052089,0.009604154903455023,0.18481774818483512
714.0,signal_electron,2784.0,1.0,-0.04011991700446933,-0.01665411275879215,0.17918486616401563
715.0,signal_electron,2784.0,-1.0,0.04011991700446933,0.01665411275879215,0.2631089937961245
716.0,signal_electron,2785.0,1.0,-0.045300331072051725,-0.018304610190448534,0.14467128588691186
717.0,signal_electron,2785.0,-1.0,0.045300331072051725,0.018304610190448534,0.18526227407666654
718.0,signal_electron,2787.0,1.0,-0.07440018735942394,-0.022770550134705334,0.22066444550328115
719.0,signal_electron,2787.0,-1.0,0.07440018735942394,0.022770550134705334,0.19989324559873434
720.0,signal_electron,2788.0,1.0,0.10188017947728624,0.0243059437266411,0.22379799510390208
721.0,signal_electron,2788.0,-1.0,-0.10188017947728624,-0.0243059437266411,0.1730773368031307
722.0,signal_electron,2813.0,1.0,0.03402806126070854,0.01069413574799807,0.0738338733059431
723.0,signal_electron,2813.0,-1.0,-0.03402806126070854,-0.01069413574799807,0.09721689945406066
724.0,signal_electron,2814.0,1.0,0.006228598058540294,0.0016600137637607147,0.17405567090693327
725.0,signal_electron,2814.0,-1.0,-0.006228598058540294,-0.0016600137637607147,0.23049887409174943
726.0,signal_electron,2819.0,1.0,-0.009700081808641844,-0.003949974427680927,0.17972149741358423
727.0,signal_electron,2819.0,-1.0,0.009700081808641844,0.003949974427680927,0.2528974494538999
728.0,signal_electron,2825.0,1.0,-0.11779550718004642,-0.029042338110511698,0.1692131800849712
729.0,signal_electron,2825.0,-1.0,0.11779550718004642,0.029042338110511698,0.1930534841611164
730.0,signal_electron,2826.0,1.0,-0.03077858580529988,-0.008811226020611589,0.11977279058771202
731.0,signal_electron,2826.0,-1.0,0.03077858580529988,0.008811226020611589,0.11562119549388405
732.0,signal_electron,2844.0,1.0,-0.003950209883605733,-0.004623690093526597,0.28887137639223326
733.0,signal_electron,2844.0,-1.0,0.003950209883605733,0.004623690093526597,0.18267108760692502
734.0,signal_electron,2848.0,1.0,0.009117644758009445,0.005969317694069259,0.2054793499495774
735.0,signal_electron,2848.0,-1.0,-0.009117644758009445,-0.005969317694069259,0.18926987809995235
736.0,signal_electron,2864.0,1.0,0.011224689746196016,0.012874523722821482,0.22687590238825556
737.0,signal_electron,2864.0,-1.0,-0.011224689746196016,-0.012874523722821482,0.19411836453326434
738.0,signal_electron,2874.0,1.0,-0.09054328217441335,-0.026187759731026317,0.11820114052783341
739.0,signal_electron,2874.0,-1.0,0.09054328217441335,0.026187759731026317,0.19297240947536173
740.0,signal_electron,2877.0,1.0,-0.11012013348488467,-0.024323763742898647,0.20818309785211353
741.0,signal_electron,2877.0,-1.0,0.11012013348488467,0.024323763742898647,0.20997149872868787
742.0,signal_electron,2879.0,1.0,0.034917028300631876,0.008356784763166796,0.2357735543216214
743.0,signal_electron,2879.0,-1.0,-0.034917028300631876,-0.008356784763166796,0.1660096668657663
744.0,signal_electron,2881.0,1.0,0.01606817176724376,0.007000994606044175,0.15701120634312843
745.0,signal_electron,2881.0,-1.0,-0.01606817176724376,-0.007000994606044175,0.20561583400310846
746.0,signal_electron,2886.0,1.0,0.12943544126486417,0.030908631150821403,0.1182990373810757
747.0,signal_electron,2886.0,-1.0,-0.12943544126486417,-0.030908631150821403,0.1276321374959338
