mass_mev,epsilon,production_probability,mean_decay_probability,mean_reco_probability,expected_produced,expected_decays,expected_signal,expected_background,signal_to_background,significance
60.0,1e-06,3.026857768145066e-10,0.309906204376654,0.16077607154932788,3026.857768145066,938.0420021138276,486.64630110093003,28086.7976013467,0.01732651432919488,0.08659404162996127
60.0,3e-06,2.72417199133056e-09,0.10351512961444392,0.05323931440541218,27241.7199133056,2819.930167746207,1450.3304914086546,28086.7976013467,0.051637445891628254,0.2580724001520685
60.0,1e-05,3.026857768145067e-08,8.674335540882337e-10,4.4183702240457005e-10,302685.7768145067,0.0002625597991541654,0.00013373778235193588,28086.7976013467,4.761588852177418e-09,2.3797355628272552e-08
60.0,3e-05,2.7241719913305596e-07,1.3662520638113103e-75,6.940369350238538e-76,2724171.99133056,3.7219056053323444e-69,1.8906759793408902e-69,28086.7976013467,6.731546992919678e-74,3.364276561712881e-73
60.0,0.0001,3.026857768145067e-06,0.0,0.0,30268577.68145067,0.0,0.0,28086.7976013467,0.0,0.0
80.0,1e-07,2.7340035991142696e-12,0.00973512999929466,0.005129428195750091,27.340035991142695,0.26615880455916896,0.14023875148578963,21994.003941507734,6.376226532410814e-06,3.186302887588221e-05
80.0,3e-07,2.4606032392028435e-11,0.08046812833893044,0.04238702401647965,246.06032392028433,19.800013724336235,10.429764859511854,21994.003941507734,0.00047420946578210317,0.002369700923363983
80.0,1e-06,2.73400359911427e-10,0.367175760635561,0.19281039272910522,2734.00359911427,1003.8598510851435,527.1443076680096,21994.003941507734,0.023967637228306905,0.11977013570806572
80.0,3e-06,2.4606032392028435e-09,0.021888330750635666,0.011407517370411428,24606.032392028435,538.5849754575733,280.6937419289706,21994.003941507734,0.012762284787957007,0.06377518845259036
80.0,1e-05,2.7340035991142712e-08,2.5714581198533197e-16,1.332022073831808e-16,273400.35991142713,7.030375754650594e-11,3.6417531439558186e-11,21994.003941507734,1.655793621589289e-15,8.274266873836018e-15
80.0,3e-05,2.460603239202844e-07,1.2676889866278488e-132,6.558318295684588e-133,2460603.239202844,3.119279626798255e-126,1.6137419242084773e-126,21994.003941507734,7.337190301957598e-131,3.666511929442461e-130
80.0,0.0001,2.734003599114271e-06,0.0,0.0,27340035.991142713,0.0,0.0,21994.003941507734,0.0,0.0
100.0,1e-07,2.472423481937216e-12,0.01502666110761805,0.007977008695339108,24.72423481937216,0.37152269777587565,0.19722543613973767,18194.108801902585,1.0840071271812638e-05,5.4163157117490584e-05
100.0,3e-07,2.2251811337434947e-11,0.11847244766533546,0.06286868448885166,222.51811337434947,26.3622655413318,13.9894210627865,18194.108801902585,0.0007688983953599094,0.003841853392934498
100.0,1e-06,2.4724234819372167e-10,0.3549667363208154,0.1877316063824136,2472.423481937217,877.6280941862003,464.15203192167405,18194.108801902585,0.02551111664634747,0.12746803821776848
100.0,3e-06,2.2251811337434954e-09,0.003129159549109397,0.0016450393881967738,22251.811337434956,69.62946793151534,36.60510610880404,18194.108801902585,0.002011920809497203,0.01005269985595989
100.0,1e-05,2.4724234819372172e-08,1.3024777236183289e-24,6.818877659598679e-25,247242.34819372173,3.2202765085740894e-19,1.685915324604887e-19,18194.108801902585,9.26627043380431e-24,4.6299553648172295e-23
100.0,3e-05,2.2251811337434954e-07,8.073728685650874e-206,4.223839727355134e-206,2225181.133743495,1.7965508750273993e-199,9.398808473266913e-200,18194.108801902585,5.165852626034679e-204,2.581153577442583e-203
100.0,0.0001,2.472423481937217e-06,0.0,0.0,24724234.819372173,0.0,0.0,18194.108801902585,0.0,0.0
150.0,1e-07,1.931871963369482e-12,0.03316089452631725,0.017788337382545986,19.318719633694823,0.6406260241564482,0.34364790264297873,12890.008902313104,2.666002058239939e-05,0.00013317102375808306
150.0,3e-07,1.7386847670325342e-11,0.22236817804415682,0.11921283506472118,173.8684767032534,38.66281638381538,20.727354036179264,12890.008902313104,0.0016080170458578778,0.00803229973343364
150.0,1e-06,1.9318719633694824e-10,0.1916534592486263,0.10240491537579063,1931.8719633694825,370.24994460519684,197.83318492571436,12890.008902313104,0.015347792730400156,0.07666465462834633
150.0,3e-06,1.7386847670325344e-09,5.093192737401366e-06,2.7107313428129663e-06,17386.847670325344,0.0885545662808049,0.04713107293266551,12890.008902313104,3.6564034431510647e-06,1.8264314098784688e-05
150.0,1e-05,1.931871963369483e-08,3.6408704032934953e-53,1.9343554188826123e-53,193187.1963369483,7.033695454384447e-48,3.736927000931151e-48,12890.008902313104,2.899087990746509e-52,1.4481403512019725e-51
150.0,3e-05,1.7386847670325346e-07,0.0,0.0,1738684.7670325346,0.0,0.0,12890.008902313104,0.0,0.0
150.0,0.0001,1.931871963369483e-06,0.0,0.0,19318719.63369483,0.0,0.0,12890.008902313104,0.0,0.0
200.0,1e-07,1.518487575262187e-12,0.05628014892472623,0.030339317111818913,15.184875752621869,0.854607068761023,0.46069876076236477,10093.81384903599,4.564169377924121e-05,0.00022792638346326417
200.0,3e-07,1.3666388177359684e-11,0.308919947088539,0.16642077461203048,136.66388177359684,42.218199126413886,22.74370906624894,10093.81384903599,0.002253232465587928,0.011252236375527611
200.0,1e-06,1.518487575262187e-10,0.0646381657623603,0.034727315766515734,1518.487575262187,98.1522515978818,52.73299751366079,10093.81384903599,0.005224288688333306,0.026089155075165717
200.0,3e-06,1.3666388177359687e-09,8.802634724200043e-10,4.716188579933701e-10,13666.388177359688,1.2030022312442333e-05,6.445326385100471e-06,10093.81384903599,6.385422280911225e-10,3.1887646729617905e-09
200.0,1e-05,1.5184875752621877e-08,9.372003008661911e-93,5.016887968730911e-93,151848.75752621877,1.4231270123972953e-87,7.618082047000244e-88,10093.81384903599,7.547278125926414e-92,3.76897451824236e-91
200.0,3e-05,1.3666388177359686e-07,0.0,0.0,1366638.8177359686,0.0,0.0,10093.81384903599,0.0,0.0
200.0,0.0001,1.5184875752621875e-06,0.0,0.0,15184875.752621874,0.0,0.0,10093.81384903599,0.0,0.0
