event_id,energy_gev,mean_decay_length_m,decay_z_m,opening_angle_rad,in_decay_volume,detected,x_plus_at_detector_m,x_minus_at_detector_m,slope_plus_rad,slope_minus_rad,energy_plus_gev,energy_minus_gev
28.0,0.3817806219680395,3.0972346274833495,0.27546972474096953,0.047624962719384475,False,False,,,,,,
29.0,0.37497550971492544,3.0420274532543217,8.062472389871886,0.06696972393133689,False,False,,,,,,
30.0,0.4324793341291715,3.5085331529685284,2.321137234188151,0.06593163371138186,True,True,0.07340389404538265,-0.07340389404538265,0.016388958064464672,-0.016388958064464672,0.21694569807515632,0.2093714005213138
31.0,0.2775417320608454,2.2515858942220435,1.5663505256389245,0.05071691465960219,False,False,,,,,,
32.0,0.45541380503209083,3.694591410921384,5.775221966935699,0.04729325231650372,True,False,0.01742472496682219,-0.01742472496682219,0.017003413817057157,-0.017003413817057157,0.18622057973369163,0.26662905949270993
33.0,0.4067094930345492,3.2994726622302393,1.8016482158398834,0.039817076002894775,False,False,,,,,,
34.0,0.31963391213055825,2.593063041454238,3.633559800871753,0.07155860693491149,True,False,0.10472954190800136,-0.10472954190800136,0.033074852301595487,-0.033074852301595487,0.14514276506744525,0.16578537581963876
35.0,0.25681936779049364,2.0834735792213355,1.7059054464710794,0.043776256221969935,False,False,,,,,,
36.0,0.2311571764277143,1.8752864080229028,0.5784340011439866,0.1017260439543039,False,False,,,,,,
37.0,0.4643913905285466,3.7674229981493568,0.19960958226597553,0.04125885883850883,False,False,,,,,,
38.0,0.3839941927914404,3.115192448834476,10.280789376549917,0.04392783549284767,False,False,,,,,,
39.0,0.2933758030784793,2.3800414266087864,1.3766863413059156,0.07043449568363255,False,False,,,,,,
40.0,0.41160407646361985,3.3391804745478924,2.3212005521807013,0.058869100479237636,True,False,0.054488253550267665,-0.054488253550267665,0.01216581679646265,-0.01216581679646265,0.15809212517909288,0.23899472222673934
41.0,0.3590817860319159,2.9130879824741878,0.12730546558852365,0.04915135459487625,False,False,,,,,,
42.0,0.45328172821974244,3.677294718130589,5.473790268549272,0.03712624785408795,True,False,-0.010570469022822044,0.010570469022822044,-0.00797043542370867,0.00797043542370867,0.21443998848567453,0.23558401936306106
43.0,0.28875652098120363,2.3425670247073875,0.4309089441302267,0.0658787775698798,False,False,,,,,,
44.0,0.39217735751927196,3.181579215734243,2.185066697840381,0.052866309037245235,False,False,,,,,,
45.0,0.4610324845108573,3.7401735270399503,6.8457276502742275,0.026211501133468693,False,False,,,,,,
46.0,0.3563726506121817,2.891109842281298,0.9595839514759013,0.04365923098357949,False,False,,,,,,
47.0,0.3768306182830953,3.0570772126304213,1.001288908434305,0.0454981967956966,False,False,,,,,,
