event_id,energy_gev,mean_decay_length_m,decay_z_m,opening_angle_rad,in_decay_volume,detected,x_plus_base_at_detector_m,x_minus_base_at_detector_m,x_plus_at_detector_m,x_minus_at_detector_m
58.0,0.40471063724259204,3.2832567386920517,0.5065830532135764,0.04616549205172493,False,False,,,,
59.0,0.4730960644705533,3.8380405622759937,6.85643551798394,0.03446232171698447,False,False,,,,
60.0,0.36927116677011296,2.995750383442244,1.2407713997020249,0.046468341794135115,False,False,,,,
61.0,0.41867296903209295,3.3965275937604216,0.06682743452472906,0.04937975477719831,False,False,,,,
62.0,0.15042597102488126,1.2203461871097063,0.4914525992994709,0.1450668422523115,False,False,,,,
63.0,0.19508360904001532,1.5826358762225,6.655411397693756,0.08523606368749834,False,False,,,,
64.0,0.17461292921917598,1.4165653772474736,2.1384201063356905,0.10463017066807934,False,False,,,,
65.0,0.343679080436075,2.7881319465118293,6.757816699478556,0.06745079184031237,False,False,,,,
66.0,0.24493056131713042,1.9870244118986649,4.998212387825207,0.08853196545391753,True,True,0.07465312016280402,-0.07465312016280402,0.09115312016280401,-0.09115312016280401
67.0,0.41109308650448917,3.335035015861285,1.8473985096653616,0.06138687495673461,False,False,,,,
68.0,0.20851862859310885,1.6916288564483026,3.28096659709715,0.09364011402281082,True,False,0.14768781084223861,-0.14768781084223861,0.1641878108422386,-0.1641878108422386
69.0,0.2940818818862724,2.385769563678592,0.3301223449029602,0.06883795590567866,False,False,,,,
70.0,0.22406293675701172,1.8177336578322305,0.32006651684775733,0.08134869690237796,False,False,,,,
71.0,0.4268094890133588,3.4625359503482436,1.185694010987136,0.046861047085477066,False,False,,,,
72.0,0.3209004724683272,2.6033381426778495,0.047719400235284176,0.07447664166034035,False,False,,,,
73.0,0.2632247524716689,2.1354379223423128,1.3750110271843103,0.09212866823962297,False,False,,,,
74.0,0.36383630581759807,2.9516595140552284,5.311430833740464,0.05103050748811935,True,False,0.03775848429231373,-0.03775848429231373,0.054258484292313724,-0.054258484292313724
75.0,0.31952867227160187,2.5922092722564436,4.628385431518107,0.07605730624579615,True,True,-0.047531054978749855,0.047531054978749855,-0.06403105497874985,0.06403105497874985
76.0,0.1874550626657705,1.5207485078540457,0.2114654964055485,0.0965181614984306,False,False,,,,
77.0,0.2089985560663661,1.6955223175181455,3.120683799815431,0.14075894340007006,True,True,0.01268561241137305,-0.01268561241137305,0.02918561241137304,-0.02918561241137304
78.0,0.3030057893733814,2.4581656825257294,1.5121985940744325,0.05339433542645711,False,False,,,,
79.0,0.29240206936649055,2.372141911554374,7.744016905265019,0.061793489560465785,False,False,,,,
80.0,0.11226034926622266,0.9107236486974633,0.43775098589224737,0.17506726756215601,False,False,,,,
81.0,0.2681154963768068,2.1751145861265067,1.5283738398151383,0.059007479243240755,False,False,,,,
82.0,0.17654682178456757,1.4322542799175124,0.03258521624347256,0.10378848276792296,False,False,,,,
83.0,0.3869628013141114,3.1392755913063555,2.3648153735649795,0.06643171572090371,True,False,0.10685191675684498,-0.10685191675684498,0.12335191675684497,-0.12335191675684497
84.0,0.3340422050461749,2.709951802101987,1.0696860502710326,0.07427573673953712,False,False,,,,
85.0,0.17847099386718804,1.4478643241696476,2.6113190907113903,0.16075999315997558,True,False,0.12857167104255596,-0.12857167104255596,0.14507167104255594,-0.14507167104255594
86.0,0.23996475505980286,1.9467387970492658,1.4441446635840474,0.0841062888188479,False,False,,,,
87.0,0.4363893403608695,3.540253481339476,6.199175095099604,0.05998386659647361,True,False,-0.006283881722048345,0.006283881722048345,-0.022783881722048337,0.022783881722048337
88.0,0.27982050446332596,2.270072670100645,0.07186219821764371,0.05869895382423612,False,False,,,,
89.0,0.22146554550174105,1.7966620536856477,3.2462075611283843,0.09531317011644794,True,False,-0.07152469237165465,0.07152469237165465,-0.08802469237165464,0.08802469237165464
90.0,0.36231090908910557,2.9392845759460537,0.009757930039858163,0.08282552315437704,False,False,,,,
91.0,0.3659516953103892,2.9688208292469556,2.2745551721578052,0.05794580296145773,True,False,-0.0018075270062601534,0.0018075270062601534,-0.018307527006260142,0.018307527006260142
92.0,0.20232072735456946,1.6413477441310484,0.5065930429468838,0.10914057197736354,False,False,,,,
93.0,0.4225498343954649,3.427979063422838,12.74770861200853,0.04717280459206211,False,False,,,,
94.0,0.35953960068250046,2.916802050991994,3.357394572345444,0.07065498663043471,True,False,0.10753717166599144,-0.10753717166599144,0.12403717166599143,-0.12403717166599143
95.0,0.24398489807377408,1.9793526214129058,0.5798506192358381,0.09242073783147046,False,False,,,,
96.0,0.382562362608454,3.1035765789651233,0.0389424570751799,0.04254021092875157,False,False,,,,
97.0,0.40740888405898834,3.305146543968599,3.894311676163572,0.05344660068464323,True,False,-0.07576151167543882,0.07576151167543882,-0.0922615116754388,0.0922615116754388
98.0,0.35608386043052365,2.8887670021808813,0.3643703639755573,0.06648644409464925,False,False,,,,
99.0,0.47087589801907714,3.820029233212612,10.515983483068947,0.03127777609019398,False,False,,,,
100.0,0.43955575836071303,3.5659413735736267,12.28612284720878,0.04443414333027864,False,False,,,,
101.0,0.27177997281621147,2.204843028762527,6.418644816485237,0.05805182573250189,False,False,,,,
102.0,0.24118173686421546,1.956611687313349,1.452736213189992,0.10370855283748416,False,False,,,,
103.0,0.453150097261543,3.6762268484213236,4.467198653202277,0.043920791708766074,True,True,-0.05116775388474373,0.05116775388474373,-0.06766775388474372,0.06766775388474372
104.0,0.35177006823193024,2.8537709185546953,1.0258337232833965,0.04711547405861395,False,False,,,,
105.0,0.3108280700733541,2.5216247405705303,4.624726515469431,0.0734401398090973,True,False,-0.018399391905063907,0.018399391905063907,-0.0348993919050639,0.0348993919050639
106.0,0.4560657213714736,3.699880149386291,1.2663027305277843,0.040798133586452096,False,False,,,,
107.0,0.47477352644777604,3.8516491453815442,3.4263961715530638,0.03874844151294214,True,True,0.06238586222595983,-0.06238586222595983,0.07888586222595982,-0.07888586222595982
108.0,0.21959493625023366,1.781486543419062,3.2064051057696132,0.08100971475994283,True,False,0.053741222552732414,-0.053741222552732414,0.07024122255273241,-0.07024122255273241
109.0,0.32913367977065167,2.6701308851186716,8.350377039868691,0.10208137774113453,False,False,,,,
110.0,0.4637112025066251,3.7619049027472524,2.99746302669224,0.04668783057540444,True,False,-0.08458400251297117,0.08458400251297117,-0.10108400251297116,0.10108400251297116
111.0,0.42533665455874525,3.4505874291009775,3.568610973186894,0.043531108973073,True,False,0.04901319988161567,-0.04901319988161567,0.06551319988161566,-0.06551319988161566
112.0,0.35768369621924134,2.901745834834988,1.2218691033508344,0.04286090814470645,False,False,,,,
113.0,0.4705288785069738,3.8172140016700613,1.1502547266398124,0.045887048393893785,False,False,,,,
114.0,0.37995243240240173,3.082403251288538,1.545770890979966,0.045937963894755615,False,False,,,,
115.0,0.27097389650134784,2.198303651614677,5.196864796438859,0.07371296629339769,True,False,0.05909819710921675,-0.05909819710921675,0.07559819710921674,-0.07559819710921674
116.0,0.3515465908707418,2.85195793543899,0.42880130696750857,0.05065711157168975,False,False,,,,
117.0,0.3192885194225551,2.5902610075275474,0.24740612338082332,0.05551785658610046,False,False,,,,
118.0,0.38302384177518733,3.1073203762477113,6.782022670724127,0.06041652451408327,False,False,,,,
119.0,0.3412516888451238,2.768439482155727,2.056094335058359,0.054983267152901825,False,False,,,,
120.0,0.19341905431843526,1.5691320045580806,0.510062810159131,0.10372821882410117,False,False,,,,
121.0,0.44833873917537304,3.637194210271986,0.8849266070110355,0.040181312124072874,False,False,,,,
122.0,0.33709881348261217,2.7347488529402133,1.6144180063052456,0.0767737309050062,False,False,,,,
123.0,0.3873529084183046,3.1424403753787002,0.0005615659921901679,0.031046801762069958,False,False,,,,
124.0,0.44073227339473453,3.575485972993948,6.915767511660013,0.03872257910589777,False,False,,,,
125.0,0.37103074272137104,3.010025124621695,3.449308092563516,0.06682998997217202,True,False,-0.106191990013037,0.106191990013037,-0.12269199001303699,0.12269199001303699
126.0,0.1745734043597941,1.416244727753812,2.159250562526135,0.12308183583222015,False,False,,,,
127.0,0.23414670338832885,1.8995392534776563,0.5510123961406765,0.09975133736523002,False,False,,,,
128.0,0.22557332004371905,1.8299867978482098,0.13349600068248213,0.09046322628182503,False,False,,,,
129.0,0.333610838482097,2.7064522964106987,0.6849099073744965,0.06208804982464397,False,False,,,,
130.0,0.30591608239093127,2.4817757344545384,1.5324118800665403,0.08402645369522115,False,False,,,,
131.0,0.2816982762701156,2.285306287334858,0.6484958571816132,0.07087161830555147,False,False,,,,
132.0,0.34303236825192596,2.7828854272923977,0.8276412776711612,0.05297225319552409,False,False,,,,
133.0,0.40981597730308716,3.324674335894686,0.7339084797930621,0.07213126951308557,False,False,,,,
134.0,0.36645548075082557,2.9729078405334324,0.6828417150457231,0.06898107911118553,False,False,,,,
135.0,0.4395778732942597,3.5661207832503465,0.9358061619156097,0.030528567456784627,False,False,,,,
136.0,0.30365395184972066,2.4634239673899656,7.476571018561429,0.06574678291992318,False,False,,,,
137.0,0.27721443785699584,2.248930686274841,1.2135634282903647,0.05906646515258869,False,False,,,,
138.0,0.27304902100034917,2.2151383128961077,8.094721031988945,0.05711528041850735,False,False,,,,
139.0,0.455393854180547,3.69442955758286,7.945174378011625,0.05476736578416509,False,False,,,,
140.0,0.2615167227033933,2.121581354882694,5.828033094294318,0.0837454622740926,True,True,-0.01999780261838272,0.01999780261838272,-0.03649780261838271,0.03649780261838271
